,Review Text,labels
2,"The man who is foodie like me for him arabian master is a nice place. Environment and food quality is too good. Specially their staffs’ behaviour are so nice. Good environment, quality food and and suitable price with these arabian master is awesome in a word.",Positive
4,"This place is too much comfortable & food is delicious.. Every Item Is testy & pizza or set menu is Best... & most important Thing is Their behavior is friendly..It is very good place..environment is good enough.. behavior of all the staff is good and prices are reasonable.. Over all I liked their service system, Their behavior, Their place Everything..",Positive
6,"I check it out like a second home of mine...feel frequent and relaxed....well manner, frankly attitude and of course fresh food have been delivered.. go ahead with a lot of warm wishes and undoubtedly with good food ..",Negative
8,"you guys are awesome & I just love your ""offer pizza"" #tasty #Reasonableprice",Positive
10,"Went there after referred by a friend. Tried their ""Cheese cream pasta"" and it was totally worth it. They have a variety of set meals and pizzas. NB: To all those who already owe a treat to their friends, trust me this is the best option you have!",Positive
12,"I went there for a family dinner . Had the set menu with BBQ chicken and naan, and believe me when I tell you I was utterly disgusted to my core as I've never had BBQ chicken or rather any food in any restaurant that bad. The chicken was bland as hell, tasted like a boiled piece of rubber and almost smelled bad . I don't know if they were having a bad day or something, but the most painful thing was it took them more than 1:30 hours to serve that 'Horror in a plate' .My parents had other set menu items which also included BBQ chicken that tasted almost as bad as mine. Though the staff behavior was good it doesn't make up for the bad food and the long wait. I don't know if my experience was an accident on their part or not but it sure was horrific .",Negative
14,Everything is great..Perfect for all types of event. Only the negative issue is bad smell in ground floor and not much clean.,Negative
15,"Last two times we went their with some best buddy....I think its really a good place for different type of party's and hangouts with cutie and lovely friends with delicious foods...Pizza is the best in this restaurant...And,their servable is too good...!! (Little bit problem their decoration system) But,above all its good..�",Positive
16,They served tasty and good quality food �,Positive
17,It is really a good place. Just awesome. Their behaviour is also good.Best hospitality. Food is also best.Every food really testy and reasonable price.This place is best for couples friends and family. Their interior design is looking so much beautiful..... Iloved everything,Positive
18,It is very good place..Foods are really tasty.. environment is good enough.. we can see the view of lalbag kella from here..behavior of all the staff is good and prices are reasonable..,Positive
19,most comfortable place ever for meh... specially their behavr is so frndlyy�,Positive
20,Today I was parcel 4 crispy chicken fried. I reached my house & some little bit while I am started eat and it is very bad smell & couldn't not possible to eat......another many times same case of other item....sometimes it is really to bad,Negative
21,"Combination of a great place to hang out with friends ,mouth watering food specially the pizza. �",Positive
22,So nice place had a great time loved it��� So yummy pizza and pasta i like it so much��� Pizza price is so reasonable............,Positive
23,All the best Arabian Master��� I liked it.just carry on�����,Positive
24,Food was Assum Burger too good Arabian master will be the Master of all shop in old Town inshAllah,Positive
25,visit there frequently. almost like regular customer �. food quality is good and environment is also good. tested their pizza and set menu. totally trustworthy.... �,Positive
26,environment is better than any other restaurant in lalbagh. service is goood. bcz they give unlimited change evry time. you can try...,Positive
27,Nice and friendly environment.. Good food.. Set menus are best in my opinion. Keep it up.,Positive
28,The worst food I ever experienced.. Soup was like steamed water ... And set menu rice chicken are taste less chicken contained heavy food colour.. Which can cause cancer..,Negative
29,very bad service... just tym & tk waste. behaviour very bad.. decoration very bad.... should close it or improve quality,Negative
30,Went there today for the first time unexpectedly. But the food was so yumm i didn't expected that and their service was way to fast than the others � i liked it :),Positive
31,The food of Arabian Master is good and testy. You should try. Go there enjoy their testy testy food. I like it��� Even Foods cost is reasonable....,Positive
32,"their food quality and service is very good � i just love their food �� specially their cream pasta (10/10) �, chawmin (10/10) �",Positive
33,Everyone enjoyed lots of fun and chat with friends and birthday parties. Thanks to all of the Arabian master.,Positive
34,"We tested the BBQ pizza 4 season, cheese Supreme Pizza teste r too gud very yummy.... Well service... Happy us",Positive
35,atmosphere is really good....food is average.....service is lil slow but they behave well....song selection is also good....,Negative
36,Pizza was nice i like it. My friends also like it.,Positive
37,Today I am going to there celebrating my frnd birth day totally amazing�� Food are really good so gyus pls going there and enjoy your day.....,Positive
38,need to improve the standard of food. The quality is not up to the mark compared to the money taken,Negative
39,Best place for family hangout. And food quality + quantity - 10/10 Thanks for everything Arabian Master.,Positive
40,"So yummy Pizza with reasonable price,also with discount & various offers.... Loved it �",Positive
41,Great food. Specially the BBQ Chicken. Everyone should visit and taste.,Positive
42,Food & their service is good. Food quality could be better.,Positive
43,Bbq pizza is Love ❤️ I visited many times there environment is also good,Positive
44,Worst possible service!! They are super rude and didn't give food on time for iftar.,Negative
45,"test is good, service is also fast. decoration should be upgrade at all.",Positive
46,I like the food but their service is not good ............,Positive
47,Simply the pizza was....cheeseeeeee.....wanna taste it again for sure...,Positive
48,Great place... There behaviour is too good... Keep going...,Positive
49,nice place to hangout...service was good......... :),Positive
50,"Great food, Specially the BBQ (Lollipop) Chicken, Everyone should visit and taste.",Positive
51,cream of cheese pasta 2/10 fusilli pasta 6/10 Beef Arabian pasta 2/10,Negative
52,Amazing food and great hospitality .Really impressed �,Positive
53,awesome.............................................,Positive
54,"yyyaaammee food, good survice. thanx 2 woner of Arabian Master�����",Positive
55,Foods r just awesome !! If u don't try it then you gonna miss it..,Positive
56,My 1st home delivery frm dm nyc n fast... n de pizza was mouthwatering yummm....,Positive
57,Awesome lunch..... And special thanks Tarek bhai..�,Positive
58,food quality was decent,Negative
59,"Service Was Good. Restaurant Is So Nice, Near By Lal Khella. Waiter are Well Behaved. But Food Isn't So Good.",Negative
60,Offer price B.B.Q pizza =500tk 2ta pasta =260+260=520tk(1ta free) atto faltu Khabar ami & amr frnds ra life a khai nai.1020tk purai panity gase�� test:0/10 service :2/10...,Negative
61,Fantastic food !,Positive
62,nothing was good.,Negative
63,Waste of money...,Negative
64,Valo,Positive
65,kono rules nai... khabar o tasty na �� khub e faltu.,Negative
66,Kisu bolar nai 100/100 Khowar test onek vlo Love it....,Positive
67,Jedzonko dobre,Positive
68,It's food quality is very good and so delicious...,Positive
69,"All says Arabian master is mah 2nd Bari Ghar.... M loved thr food... N abt service?? All thr staff r lyk mah younger brother,,, #badol_Vai iz mah too much closer brother... n #Tareq_Vai (owner) unake nye r kichu ble lojja dbo naah... Jst thnq thnq brother foh open such an amazing side.... � �",Positive
70,Pizza and other food was excellent and service are great.,Positive
71,food quality totally nonsense. Price is ridiculously sky high.don't go there.vooter bari and pizza king much better,Negative
72,Love their service...it was great!! Had great experience...will be visiting soon.. :) :),Positive
73,BBQ pizza is so much tasty But the service is too much late They need to improve their service quality,Positive
74,Very nice............... I love it,Positive
75,had a great experience there. will be visiting again soon :),Positive
76,"Yummy food, the service satisfied me. I loved it....",Positive
77,Nice place in lalbagh ... Love da foods,Positive
80,It used to be one of my favorite places for food but my last three visits were absolute disappointment. The chickens were so dry and tasteless. My favorite charbroiled chicken totally lost its texture and top of that they reduced the size of the chicken pieces. Hope the management take these issues seriously.,Negative
82,"Quality and test of food is not great, also food is not well coordinated so you have to ended up paying high for a family dinner. Also they are not transparent when put advertisement as last week they put advert that there will be buy one get one free but didn’t mention time frame so when I reach they told that time is over.",Negative
84,"Used to love the food, but recently they have deteriorated very badly. The chicken seem pre-cooked and reheated, and the flavours are not as vibrant. Portions have decreased, too, so I go to Namdo's downstairs instead.",Negative
86,Food was quite good not that bad but it didn’t reached my expectations except their iced coffee latte had the worst bitter taste ever... I’ll be neutral with the services provided!!,Negative
88,That jamaican grill chicken was kinda okay and specially that hot wing was spicy which i liked among all of the items but the rice wasn't way too good :3 5/10 on that rice xD -_- overall it was good and yeah nice place,Positive
90,#negative review Place :Cafe bbq / bbq bd gulshan 2 Food : 6/10 Drinks :2/10 Service 2/10... Gelam ek friend er sathe khaite. 2 joner e pet motamuti vora cilo bole nilam share platter namer item ta jar price 1000 Platter includes all these and 2 drinks according to description. Pic dawa platter tar ar 2 ta fancy drink er. Order korar sathe sathe amak jigesh korlo sir drink ki niben. Bollam ki option ase? Bollo blue mojito na ki jani Ekta aro 2 -3 ta bollo and green apple er Ekta. Ami bollam apnader jei 2 ta iccha den eigula moddhe. Bollo sir blue ta e green apple ta ani? Bollam anen. Sudhu platter ta ar ei 2 ta drink amader dilo. Bolai vaguely platter ta sufficient na 2 joner jonno ar drink gila as usual fancy namer sprite. Minimum kono variety nai. Bill dawar somoy dekhlam total jeolhan 1150 howar kotha.ami deke Ekjon o bollam drinks to included she bollo sir taito asole sorry vul maybe.pore arekjon eshe bollo na sir vul nai.ami bollam drinks to included na? Bola holo na sir drinks bolte sudhu sprite included Baki 2 ta paid. Apnak sprite ta ene dibo sir? Amak er age sprite ta dawa o hoinai bola o hoinai er kotha. Misleading information er jonno amar 2 ta rong be rong er sprite nite. Ami bolsi vai ami bill o dea disi ekhn sprite dea ki korbo? Amar kotha na sune tao ene dise.ami jigesh korlam amak clearly bola hoinai keno bolle hasi dilo sudhu Ekta. Ami kotha barai nai but barpari type misleading info dawa amar thik lage nai.,Negative
92,"Good food. Excellent personalized service by Mr. Pear Ahmed, Assistant Restaurant Manager. Keep up the great food and service!",Positive
93,Ordered Jamaican chicken with rice...it was a buy one get one offer...rise was tasteless....chicken was dry inside...disappointed...,Negative
94,The Jamaican grill chicken one is celestial. Love that one. Always go back to BB.Q for that. I find it to be a bit pricy but it's worth it.,Positive
96,Worst chicken I've ever had ! decoration is up to the mark and that's why people intend to go there.. but the taste of food is not up to the standard! and also the price is so high according to the quality of the food!,Negative
98,"Foods is average,Seating capacity is very close & congested,not maintain standard privacy & comfortableness.Employees with supervisor activities with behaves not attractive or standard in posh place in Gulshan 2. Hope they overcome all lack of service & food tastes , need price reasonable with excellent service. Thank u,Place :Cafe bbq Bangladesh gulshan 2Food :7/10,Drinks :4/10,Service : 4/10,Seating Space: 3/10,",Negative
100,"Great decoration, good service but when it comes to food it could be a lot better. Took the Jamaican chicken. It was a little too sweet for me. I took rice as a side and it was burned. When confronted they replied that it was supposed to have a smoky flavor!!!! I don't know what they meant!!! Anyways the chicken was well cooked, the Mocha according to my friend was also good. Rice was regular vegetable fried rice, nothing special. I have had better fried rice at street carts.... Seemed pretty expensive compared to the quality of food they serve. Good place to hangout with friends and family though. Cheers!!! ***Went their a week or two ago.",Negative
102,excellent it was... we had our friends gettogether party here... food portion was enough service was vry friendly,Positive
103,"Well decorated, good service but bad food. It could be lot better. It is not worthy with price they have taken.",Negative
104,"Good environment. I liked it. Nice interior and comfortable seats. Liked it. Staffs are well manured. Liked it. bbq chickens were tasty. Liked it. Fried rice was melted like I am eating potato smash. Was disturbing. There was no water in wash room. Oh my God! In a diplomatic zone, what is it?! Disaster! I asked for wifo connection several times but no one could connect it to my phone saying that there is a problem. Aah. Okay, no complaints. It's okay.",Negative
105,Worst service i got !! Waiting for 1 hour for the food !!!,Negative
106,best chicken in town... must try if you love juicy chicken.,Positive
107,Fantastic food . Must try the Korean platter. Best wishes to them,Positive
